ID,t0: president peace people united,t1: united government public congress,t2: constitution people president government,t3: people america american americans,t4: people president america country,t5: united government congress law,t6: government business american national
Abraham Lincoln,0.052019723,0.26230085,0.57876194,0.009128851,0.006416637,0.06330523,0.02806688
Andrew Jackson,0.007061775,0.69553685,0.19885488,0.0020976705,0.0003186788,0.07233669,0.023793511
Andrew Johnson,0.013177992,0.38889158,0.43057472,1.0256605e-05,3.638552e-05,0.14619075,0.021118393
Barack Obama,0.12871444,0.011916261,0.029427832,0.4611715,0.3251678,0.0035027869,0.040099315
Benjamin Harrison,0.024008745,0.23489194,0.07427929,0.002577999,0.0008414875,0.5528683,0.110532254
Bill Clinton,0.15641679,0.0094376225,0.027073767,0.5475764,0.20904976,0.004302262,0.046143383
Calvin Coolidge,0.09922105,0.21070112,0.08221978,0.047897287,4.449816e-05,0.15130328,0.408613
Chester A. Arthur,0.0184113,0.36948866,0.076074824,0.0066974545,0.000973502,0.4442705,0.08408375
Donald Trump,0.13922897,0.011371789,0.036095377,0.1538049,0.6184411,0.010030585,0.0310273
Dwight D. Eisenhower,0.48405054,0.086334355,0.08190801,0.16243176,0.012128472,0.008705165,0.1644417
Franklin D. Roosevelt,0.4093056,0.06306746,0.060096093,0.087814406,0.030166311,0.029377595,0.32017258
Franklin Pierce,0.0072004483,0.60531765,0.21294789,0.00254999,0.00069693726,0.12566869,0.04561843
George H. W. Bush,0.28155762,0.018180793,0.033249233,0.46641827,0.14871575,0.0032549414,0.04862338
George W. Bush,0.21196061,0.025688943,0.02828265,0.33692136,0.35009056,0.00446148,0.042594418
George Washington,0.03223953,0.7193613,0.16421211,0.0026981458,0.0039319517,0.04708974,0.03046718
Gerald Ford,0.41600725,0.033415575,0.046763014,0.3563716,0.020455789,0.016613707,0.110373065
Grover Cleveland,0.016643092,0.28612363,0.08424,0.0035627144,0.00021621518,0.4857118,0.123502545
Harry S. Truman,0.5445303,0.04444803,0.063843794,0.107418634,0.044464197,0.011264389,0.18403073
Herbert Hoover,0.14662115,0.11854002,0.038303636,0.07392833,0.0012085056,0.12162147,0.49977693
James A. Garfield,0.073544346,0.26329452,0.3216502,0.02916149,0.00019764311,0.15379451,0.15835723
James Buchanan,0.011032289,0.53909683,0.3138839,0.0031979252,0.00025000624,0.114058845,0.018480241
James K. Polk,0.012162758,0.71683943,0.1646126,0.00064992526,3.2550368e-05,0.09169602,0.014006728
James Madison,0.026269237,0.788449,0.10368052,0.0015331593,0.0016745047,0.049180117,0.02921351
James Monroe,0.0048970478,0.8408708,0.08360948,2.0382957e-05,0.0006060813,0.060528412,0.0094677955
Jimmy Carter,0.34068,0.0220527,0.036119804,0.45717597,0.035410836,0.020883655,0.087677084
Joe Biden,0.15097311,0.008760223,0.032234002,0.26715443,0.5057995,0.006188694,0.028890053
John Adams,0.040597226,0.75113815,0.12621647,0.0074255047,0.0081388205,0.035076886,0.03140692
John F. Kennedy,0.526779,0.04503815,0.049906924,0.23417445,0.01337656,0.020553546,0.11017147
John Quincy Adams,0.019021695,0.74482787,0.10324525,0.005635266,0.0011693481,0.08640541,0.039695185
John Tyler,0.010396836,0.69412196,0.14173326,0.0016951688,0.0018950747,0.114500925,0.035656784
Lyndon B. Johnson,0.6368684,0.031855103,0.056137264,0.15851381,0.019603748,0.02958127,0.06744038
Martin Van Buren,0.0015769524,0.73514163,0.11581438,0.001394718,9.452754e-06,0.10295664,0.043106183
Millard Fillmore,0.0087899165,0.6089736,0.14914863,9.55803e-05,1.5593158e-05,0.2142944,0.018682271
Richard M. Nixon,0.56209165,0.030101847,0.050762713,0.26480824,0.022504034,0.0126738595,0.05705762
Ronald Reagan,0.33523226,0.024179872,0.05260418,0.4360264,0.07283803,0.010213505,0.06890577
Rutherford B. Hayes,0.008195862,0.39659366,0.15030974,0.0019368366,0.0005296132,0.38643947,0.055994824
Theodore Roosevelt,0.049306422,0.17958194,0.08953765,0.021167375,0.01081253,0.2380005,0.41159353
Thomas Jefferson,0.034478478,0.7178485,0.13639933,0.019337777,0.0057560494,0.047973562,0.038206372
Ulysses S. Grant,0.017169476,0.41474885,0.15288526,0.0030552654,0.00094105804,0.35504434,0.0561558
Warren G. Harding,0.15635884,0.110400684,0.10415232,0.07822982,0.0029961977,0.047404274,0.5004578
William Harrison,0.03707944,0.575678,0.28370732,0.020140922,0.003940543,0.031111067,0.048342716
William McKinley,0.050008774,0.31688315,0.09180973,0.0033667162,0.00157278,0.38121504,0.1551439
William Taft,0.026589701,0.199004,0.06443913,0.009876584,0.0020017205,0.3977446,0.3003443
Woodrow Wilson,0.18936093,0.1845456,0.13401844,0.040289138,0.0037579327,0.058290478,0.3897375
Zachary Taylor,0.0023086702,0.67019147,0.13262565,0.0008066538,5.288396e-05,0.14705884,0.046955824
